_id,expert_userId,intitule,localisation,date_debut,date_fin,HT_TTC,replacement_or_creation,presentiel_distanciel,isClosed,forfait_remuneration,status,createdAt,updatedAt,hours_planned,note_communication,note_quality,note_level
64f7493318cd730cf4f4c896,62bd69eeb92b4e1a8ec36ebb,Formateur RH - SOURCER ET RECRUTER DES CANDIDATS,Bordeaux,11/05/2023,25/08/2023,TTC,Création de poste,,VRAI,hourly,terminated,05/09/2023,1693927832364,70,,,
64f736ef18cd730cf4f4c827,644a7a278eb450085c331d28,Energies renouvelables,Lyon,04/04/2023,21/05/2023,TTC,Création de poste,,FAUX,hourly,proposed,05/09/2023,1693923055116,"24,5",,,
64f726ed18cd730cf4f4c7e7,63807b18983abd240e8423d3,Formateur développement durable,Bordeaux,18/09/2023,30/06/2024,TTC,Autre,,FAUX,hourly,pending,05/09/2023,1694297400339,60h sur l'année,,,
64f7262118cd730cf4f4c7e4,623ca0c68135b2295c13ffad,Hygiène et sécurité,,01/09/2023,30/06/2024,TTC,,,FAUX,hourly,proposed,05/09/2023,1693918753350,35,,,
64f725c818cd730cf4f4c7e1,624836e6c60bd00898a38c8d,Arts appliqués et culture artistique,,01/09/2023,30/06/2024,TTC,,,FAUX,hourly,pending,05/09/2023,1693918668441,"38,5",,,
64f7253918cd730cf4f4c7df,624836e6c60bd00898a38c8d,Technique de design en Arts sucrés,,01/09/2023,30/06/2024,TTC,,,FAUX,hourly,pending,05/09/2023,1693918630994,7,,,
64f71b7e18cd730cf4f4c7b0,613083c6e10a3b071620d817,M1-S1-Droit fiscal,Lyon,27/11/2023,22/01/2024,TTC,Création,,FAUX,hourly,pending,05/09/2023,1700349000612,"24,5",,,
64f6f2657f4c087e599e4395,5ff769166f28ac167974b047,droit des assurances,Bordeaux,01/09/2022,30/06/2023,HT,Création de poste,,FAUX,hourly,pending,05/09/2023,1693905513111,40,,,
64f602ac56981a517a4eb719,5cb5ec4ad10aab0a4c954e2d,Réseau commutation,Angoulême,17/07/2023,19/01/2024,HT,Remplacement d'un intervenant qui ne pourra pas continuer les cours après le 17 juillet,,FAUX,hourly,pending,04/09/2023,1693844155331,35,,,
64f5efb756981a517a4eb6df,6453afc68eb450085c33291b,Marketing Ethique,Lyon,04/04/2023,21/05/2023,TTC,Création de poste,,VRAI,hourly,terminated,04/09/2023,1698392531209,49,,,
64f5cfdd5ed8b045bf48cf2e,634ea5d10fd435728656c0a9,Organisation & Management de la structure,Bordeaux,02/01/2023,31/08/2023,TTC,Création de poste,,FAUX,hourly,proposed,04/09/2023,1693831133190,45,,,
64f5cf795ed8b045bf48cf2b,62d28ea2c43a1c07852b7659,Objets connectés,Bordeaux,01/02/2023,30/06/2023,TTC,Création de poste,,VRAI,hourly,terminated,04/09/2023,1693831083155,15,,,
64f5cde15ed8b045bf48cf21,627cd57ef655943d90a63792,Cybersécurité,Bordeaux,07/03/2023,09/03/2023,TTC,Création de poste,,VRAI,hourly,pending,04/09/2023,1693830824554,15,,,
64f5ca585ed8b045bf48cf0e,63a2703f783ece5a08668c2a,Enjeux du numérique / management de l'innovation,Lyon,04/04/2023,21/05/2023,TTC,Création de poste,,VRAI,hourly,proposed,04/09/2023,1693829720405,49,,,
64f5c97a5ed8b045bf48cf09,63f788217eeabc22ed2a0e40,Les outils de création numérique,Lyon,04/04/2023,21/05/2023,TTC,Création de poste,,VRAI,hourly,terminated,04/09/2023,1699005171464,27.5,,,
64f5c93c5ed8b045bf48cf08,60d98fe30e3cbe63a9efa92b,"Normes, labels et certifications ISO 45001",Lyon,04/04/2023,21/05/2023,TTC,Création de poste,,VRAI,hourly,proposed,04/09/2023,1693829559931,"24,5",,,
64f5c8be5ed8b045bf48cf06,63c8fa9ee4ad45260849a226,Finance Durable,Lyon,14/02/2023,02/04/2023,TTC,Création de poste,,VRAI,hourly,proposed,04/09/2023,1693829310941,"24,5",,,
64f5c89f5ed8b045bf48cf05,5e2ef5e47ba2f4719ceb4c77,[TEST DEVELOPER],"Bordeaux, France",05/09/2023,23/09/2023,HT,Remplacement,presentiel,FAUX,daily,pending,04/09/2023,1693865806512,ezfefz,,,
64f5c8635ed8b045bf48cf03,611e6f4c8ae28b087046cbba,urbanisme durable,Lyon,04/04/2023,21/05/2023,TTC,Création de poste,,VRAI,hourly,proposed,04/09/2023,1693829219036,"24,5",,,
64f5c6e65ed8b045bf48cefc,6307e55847b68d445cd2171e,Les COP Climats,Lyon,04/04/2023,21/05/2023,TTC,Création de poste,,FAUX,hourly,proposed,04/09/2023,1693828838493,"24,5",,,
64f5c5f05ed8b045bf48cef3,6307e55847b68d445cd2171e,Les COP Climats,Lyon,04/04/2023,21/05/2023,TTC,Création de poste,,FAUX,hourly,proposed,04/09/2023,1693828592980,"24,5",,,
64f0971888afda3cddd6f748,5e2ef5e47ba2f4719ceb4c77,Jury Concepteur Développeur d’Applications (CDA),Bordeaux,04/09/2023,15/09/2023,TTC,Création,,FAUX,hourly,pending,31/08/2023,1693519800255,46 Heures,,,
64f0897e88afda3cddd6f725,62d28ea2c43a1c07852b7659,Architecture Hardware,Bordeaux,01/09/2023,31/01/2024,TTC,créa,,FAUX,hourly,pending,31/08/2023,1693485442266,15,,,
64f0890788afda3cddd6f723,62d28ea2c43a1c07852b7659,PHP procédural et POO,Bordeaux,26/06/2023,26/06/2023,,cré,,FAUX,,pending,31/08/2023,1693485324932,30,,,
