_id,type,civility,howWeMet,createdAt,updatedAt,validatedEmail,data
64f6d6423473cc61a053847b,company,female,autre,05/09/2023,2023-11-07 08:18:30.685,VRAI,company
64f5ebef56981a517a4eb6dc,company,male,bouche à oreille,04/09/2023,2023-11-08 15:23:28.054,VRAI,company
64f1b99188afda3cddd6f980,company,female,bouche à oreille,01/09/2023,2023-09-04 20:22:21.300,VRAI,company
64f1b33a88afda3cddd6f923,company,female,entreprise partenaire,01/09/2023,2023-11-20 09:05:34.134,VRAI,company
64f184be88afda3cddd6f852,company,male,bouche à oreille,01/09/2023,2023-09-01 06:29:18.442,VRAI,company
64f0edd388afda3cddd6f7b9,company,female,autre,31/08/2023,2023-09-13 07:43:03.822,VRAI,company
64f0961388afda3cddd6f746,company,male,bouche à oreille,31/08/2023,2023-09-06 10:49:07.170,VRAI,company
64f0619e88afda3cddd6f6a6,company,female,bouche à oreille,31/08/2023,2023-10-10 11:57:12.986,VRAI,company
64ef672788afda3cddd6f4a0,company,female,autre,30/08/2023,2023-08-31 08:17:43.019,VRAI,company
64ee08ac88afda3cddd6f224,company,female,association partenaire,29/08/2023,2023-09-25 14:17:46.173,VRAI,company
64ecfbc7364aa0079116ae7f,company,male,bouche à oreille,28/08/2023,2023-08-28 19:56:42.269,VRAI,company
64ecaad4364aa0079116acf4,company,female,entreprise partenaire,28/08/2023,2023-08-31 09:51:04.614,VRAI,company
64e70cac39328140f591f123,company,female,entreprise partenaire,24/08/2023,2023-08-24 07:57:35.357,VRAI,company
64e3293d911dbb2585e1140e,company,female,bouche à oreille,21/08/2023,2023-08-30 07:43:58.867,VRAI,company
64d0a99897d6b324b741c38f,company,male,autre,07/08/2023,2023-08-29 12:23:25.813,VRAI,company
64cb6d5c643f6b152bdaca5a,company,male,autre,03/08/2023,2023-08-04 08:26:32.115,VRAI,company
64ca5e0b643f6b152bdac93e,company,female,bouche à oreille,02/08/2023,2023-08-02 13:45:47.804,,company
64ca556a643f6b152bdac92f,company,male,bouche à oreille,02/08/2023,2023-08-03 13:19:20.127,VRAI,company
64c2453a02ad7455c86b99aa,company,male,bouche à oreille,27/07/2023,2023-11-20 10:08:38.668,VRAI,company
64c0ee5902ad7455c86b9790,company,female,autre,26/07/2023,2023-07-26 10:02:20.252,VRAI,company
64bfee0b02ad7455c86b936c,company,male,entreprise partenaire,25/07/2023,2023-07-25 15:47:46.172,VRAI,company
64be6eac044a1149b7aba2b0,company,female,bouche à oreille,24/07/2023,2023-07-24 12:29:32.066,VRAI,company
64b937fb044a1149b7ab9a86,company,male,bouche à oreille,20/07/2023,2023-09-01 07:50:08.071,VRAI,company
64b7e59184e22e017f494548,company,male,linkedin,19/07/2023,2023-07-19 13:30:57.048,VRAI,company
64b532f35b32d14c2c8da90f,company,female,bouche à oreille,17/07/2023,2023-07-17 12:24:19.612,VRAI,company
64aedc22cb34de02d72d4096,company,female,autre,12/07/2023,2023-09-28 13:35:56.177,VRAI,company
64aea91acb34de02d72d4019,company,female,autre,12/07/2023,2023-11-29 12:18:55.024,VRAI,company
64ae7e0bcb34de02d72d3fae,company,female,bouche à oreille,12/07/2023,2023-08-17 12:14:38.305,VRAI,company
64a5339fe0843b7be97f5930,company,male,autre,05/07/2023,2023-07-05 09:10:55.917,VRAI,company
64a2c768e0843b7be97f5407,company,female,,03/07/2023,2023-07-03 13:16:36.037,VRAI,company
649ef3c8e0843b7be97f4e50,company,male,entreprise partenaire,30/06/2023,2023-12-06 14:01:48.228,VRAI,company
649e8e91e0843b7be97f4d04,company,male,autre,30/06/2023,2023-06-30 08:18:34.841,VRAI,company
649a9c79e0843b7be97f44a8,company,female,autre,27/06/2023,2023-07-12 10:16:56.242,VRAI,company
6499b3ace0843b7be97f429f,company,male,bouche à oreille,26/06/2023,2023-10-03 16:39:54.343,VRAI,company
64943869be132659d9fe28a5,company,male,bouche à oreille,22/06/2023,2023-06-22 12:02:49.159,VRAI,company
6492a905be132659d9fe24df,company,female,autre,21/06/2023,2023-06-28 08:07:39.112,VRAI,company
649011bcbe132659d9fe1f38,company,female,autre,19/06/2023,2023-06-19 08:28:44.856,VRAI,company
648c6187bf50bf6e8c8e4ae6,company,female,bouche à oreille,16/06/2023,2023-06-16 13:21:10.229,VRAI,company
6489691316b46110c144d1e3,company,female,autre,14/06/2023,2023-07-10 09:31:51.570,VRAI,company
6488749416b46110c144d024,company,male,recherche web,13/06/2023,2023-11-07 10:17:19.207,VRAI,company
64883bd916b46110c144cf02,company,female,autre,13/06/2023,2023-06-29 12:03:41.359,VRAI,company
64832fbc0f428d0ac2be06ee,company,male,autre,09/06/2023,2023-06-09 13:57:16.383,VRAI,company
6481d9a50a45f03a65e00fb4,company,female,autre,08/06/2023,2023-06-08 13:41:13.958,VRAI,company
6481c45c0a45f03a65e00f89,company,male,autre,08/06/2023,2023-06-08 12:06:52.490,,company
6481ade00a45f03a65e00f3a,company,male,bouche à oreille,08/06/2023,2023-06-13 07:20:15.750,VRAI,company
647f635b0a45f03a65e009a5,company,male,autre,06/06/2023,2023-08-02 09:07:30.072,VRAI,company
647f085c0a45f03a65e008c1,company,female,entreprise partenaire,06/06/2023,2023-11-14 13:38:52.305,VRAI,company
647ed53e0a45f03a65e0077f,company,female,autre,06/06/2023,2023-06-07 15:30:31.667,VRAI,company
646f7962de81f4250f63570a,company,female,autre,25/05/2023,2023-05-27 16:06:58.559,VRAI,company
646f62b3de81f4250f6356de,company,female,autre,25/05/2023,2023-06-14 07:06:06.205,VRAI,company
64676cd47818b449e7acde96,company,female,bouche à oreille,19/05/2023,2023-05-19 12:36:26.580,VRAI,company
645e48f8f1f6ab046a9b5b03,company,male,autre,12/05/2023,2023-05-12 14:11:03.912,VRAI,company
645459558eb450085c332993,company,female,recherche web,05/05/2023,2023-05-05 01:23:04.137,VRAI,company
6454547f8eb450085c33298e,company,female,bouche à oreille,05/05/2023,2023-05-05 01:01:33.530,VRAI,company
645357a68eb450085c332893,company,male,autre,04/05/2023,2023-10-03 12:21:09.118,VRAI,company
6452fb538eb450085c33283a,company,female,bouche à oreille,04/05/2023,2023-05-04 00:24:51.119,VRAI,company
644a87308eb450085c331d61,company,female,bouche à oreille,27/04/2023,2023-10-16 14:14:55.724,VRAI,company
644a41ce8eb450085c331bf7,company,male,autre,27/04/2023,2023-12-01 08:26:56.671,VRAI,company
643eb41435958379464a1d8d,company,male,autre,18/04/2023,2023-06-27 11:15:29.668,VRAI,company
6437b7358d41ed32e87705ec,company,female,bouche à oreille,13/04/2023,2023-06-22 12:00:00.300,VRAI,company
6433d61395cfbe13649d4023,company,male,parrainage,10/04/2023,2023-06-07 12:23:23.912,VRAI,company
642ebf8895cfbe13649d3b62,company,female,,06/04/2023,2023-05-22 06:55:18.817,VRAI,company
642be7e5fe615a08c22b68bb,company,female,autre,04/04/2023,2023-05-30 15:06:40.857,VRAI,company
64271af3f0cd0f064c1f045f,company,male,bouche à oreille,31/03/2023,2023-03-31 17:40:03.392,VRAI,company
6426984918aa0344da152b72,company,female,autre,31/03/2023,2023-04-10 13:46:47.553,VRAI,company
6425b81a18aa0344da152ae5,company,male,bouche à oreille,30/03/2023,2023-03-30 16:26:02.279,VRAI,company
6425b49918aa0344da152ad9,company,female,recherche web,30/03/2023,2023-03-30 16:11:05.925,VRAI,company
6425b41718aa0344da152ad6,company,female,bouche à oreille,30/03/2023,2023-03-30 16:08:55.624,VRAI,company
6425b36c18aa0344da152ad4,company,female,bouche à oreille,30/03/2023,2023-03-30 16:06:04.771,VRAI,company
6425b29f18aa0344da152ad1,company,female,bouche à oreille,30/03/2023,2023-03-30 16:02:38.968,VRAI,company
642562aa18aa0344da1529e3,company,male,autre,30/03/2023,2023-03-30 10:23:49.122,VRAI,company
6423e0ce18aa0344da15269f,company,male,bouche à oreille,29/03/2023,2023-06-06 06:54:57.468,VRAI,company
6421d09418aa0344da1523a2,company,male,bouche à oreille,27/03/2023,2023-03-27 17:21:24.725,VRAI,company
642194b4d09d560320d2b5cb,company,female,bouche à oreille,27/03/2023,2023-03-27 13:07:40.001,VRAI,company
64216cc7d09d560320d2aff6,company,female,bouche à oreille,27/03/2023,2023-03-27 10:16:08.027,VRAI,company
642149afd09d560320d2afb4,company,male,recherche web,27/03/2023,2023-03-27 13:32:33.193,VRAI,company
6419a616d09d560320d2a6c7,company,female,autre,21/03/2023,2023-03-21 13:21:12.170,VRAI,company
641872afb7d2e67417912d20,company,female,autre,20/03/2023,2023-03-20 14:56:04.211,VRAI,company
64144f0543068357ef84281a,company,female,autre,17/03/2023,2023-03-17 11:29:09.490,VRAI,company
64144ed843068357ef842817,company,male,bouche à oreille,17/03/2023,2023-03-24 10:00:24.967,VRAI,company
64130db443068357ef8425c1,company,male,bouche à oreille,16/03/2023,2023-10-03 08:33:15.842,VRAI,company
6409bc6cad121b1000e29361,company,female,autre,09/03/2023,2023-03-09 11:02:23.209,VRAI,company
6409b0b7ad121b1000e2932f,company,male,autre,09/03/2023,2023-03-09 10:14:27.303,VRAI,company
6409ad85ad121b1000e29325,company,female,autre,09/03/2023,2023-12-07 08:45:46.199,VRAI,company
6408970bad121b1000e2911d,company,male,recherche web,08/03/2023,2023-03-08 14:09:15.756,VRAI,company
6405d6f9ad121b1000e28c3d,company,female,bouche à oreille,06/03/2023,2023-03-06 12:10:07.907,VRAI,company
6400a85e410cf44bb0d4bf82,company,male,autre,02/03/2023,2023-03-10 13:54:40.633,VRAI,company
63ff7d96410cf44bb0d4be34,company,female,bouche à oreille,01/03/2023,2023-03-01 16:30:14.107,VRAI,company
63fcc2669409a015887023fb,company,male,entreprise partenaire,27/02/2023,2023-02-27 14:55:26.385,VRAI,company
63f49c20be74f3780363bf2f,company,female,entreprise partenaire,21/02/2023,2023-02-21 10:28:12.853,VRAI,company
63f343c4be74f3780363bbcd,company,male,entreprise partenaire,20/02/2023,2023-06-02 13:48:26.687,VRAI,company
63ed082fc21e125db591cb7b,company,male,autre,15/02/2023,2023-06-08 10:04:43.496,VRAI,company
63e960c779991a5c33ff6d7f,company,female,,12/02/2023,2023-02-12 21:57:27.895,VRAI,company
63e380f179991a5c33ff62a3,company,male,bouche à oreille,08/02/2023,2023-02-08 11:03:40.540,VRAI,company
63e12b000836560f18738421,company,female,,06/02/2023,2023-11-16 09:03:41.493,VRAI,company
63dce20c9db7350d41863d42,company,female,bouche à oreille,03/02/2023,2023-02-20 09:40:33.314,VRAI,company
63da213ebecf325848a4a126,company,female,bouche à oreille,01/02/2023,2023-09-19 13:30:18.846,VRAI,company
63d8fb41becf325848a49f1f,company,female,autre,31/01/2023,2023-02-07 13:07:24.531,VRAI,company
63d8e686becf325848a49ecb,company,female,publicité,31/01/2023,2023-06-22 09:48:51.656,VRAI,company
63d7e42e4709d3083585b9b9,company,male,autre,30/01/2023,2023-08-29 14:37:29.730,VRAI,company
