_id,type,createdAt,data
64022d6ead121b1000e288bf,expert,2023-03-03 17:25:02.853,newsletter
64106c6f0b432e1b36aca096,expert,2023-03-14 12:45:35.878,newsletter
6414157d43068357ef842748,expert,2023-03-17 07:23:41.125,newsletter
642e8e0a9f46956268c34a43,company,2023-04-06 09:16:58.624,newsletter
6437037e8d41ed32e877051c,expert,2023-04-12 19:16:14.387,newsletter
643703888d41ed32e877051d,company,2023-04-12 19:16:24.164,newsletter
6454c30a8eb450085c332a70,expert,2023-05-05 08:49:14.309,newsletter
645933e28eb450085c33305d,expert,2023-05-08 17:39:46.425,newsletter
646b6e1e7818b449e7ace46d,expert,2023-05-22 13:29:02.940,newsletter
646b6e547818b449e7ace46e,company,2023-05-22 13:29:56.565,newsletter
6470bbfe822ca22d226b68b7,expert,2023-05-26 14:02:38.267,newsletter
64917347be132659d9fe2249,expert,2023-06-20 09:37:11.468,newsletter
64917390be132659d9fe224d,company,2023-06-20 09:38:24.670,newsletter
6491d24cbe132659d9fe2395,expert,2023-06-20 16:22:36.566,newsletter
649e8180e0843b7be97f4cc0,expert,2023-06-30 07:17:20.494,newsletter
64a9495a0c73164841e4c8db,company,2023-07-08 11:32:42.279,newsletter
65008544f95a870ce72f8720,expert,2023-09-12 15:35:32.874,newsletter
6500856af95a870ce72f8721,company,2023-09-12 15:36:10.435,newsletter
65046b3cf95a870ce72f948b,company,2023-09-15 14:33:32.550,newsletter
65046b45f95a870ce72f948c,expert,2023-09-15 14:33:41.404,newsletter
65046dfcf95a870ce72f94a1,expert,2023-09-15 14:45:16.622,newsletter
650811d4f95a870ce72f9a54,expert,2023-09-18 09:01:08.206,newsletter
65109c12fe291c3794b1efdb,expert,2023-09-24 20:29:06.229,newsletter
