_id,civility,howWeMet,mailing,createdAt,updatedAt,validatedEmail,data
61f9723995e32c4827f99e30,male,autre,False,01/02/2022,2022-05-24 12:40:21.458,True,user
61f8f23795e32c4827f99da3,female,bouche à oreille,False,01/02/2022,2022-05-24 12:40:21.457,True,user
61f8579f95e32c4827f99d61,female,autre,False,31/01/2022,2023-05-31 17:19:38.657,True,user
61f8148c95e32c4827f99d51,female,recherche web,False,31/01/2022,2022-05-24 12:40:21.454,True,user
61f80d0a95e32c4827f99d4e,male,bouche à oreille,True,31/01/2022,2023-03-16 11:23:58.423,True,user
61f8061295e32c4827f99d49,male,recherche web,True,31/01/2022,2022-05-24 12:40:21.448,True,user
61f8001795e32c4827f99d40,male,bouche à oreille,False,31/01/2022,2022-05-24 12:40:21.443,True,user
61f7f94d95e32c4827f99d2c,female,autre,False,31/01/2022,2023-07-17 07:14:01.819,True,user
61f7b53495e32c4827f99cf5,male,entreprise partenaire,False,31/01/2022,2022-05-24 12:40:21.437,True,user
61f6a83695e32c4827f99c84,male,recherche web,True,30/01/2022,2023-10-26 20:55:53.567,True,user
61f5af5b95e32c4827f99c3d,female,recherche web,True,29/01/2022,2023-07-19 10:44:30.889,True,user
61f40a2395e32c4827f99a85,female,,False,28/01/2022,2022-05-24 12:40:21.423,True,user
61f3cfc495e32c4827f99a3a,female,autre,False,28/01/2022,2022-12-08 11:44:31.082,True,user
61f3a8ef95e32c4827f999f1,male,autre,False,28/01/2022,2022-05-24 12:40:21.420,True,user
61f2dd8195e32c4827f999a8,female,autre,False,27/01/2022,2022-05-24 12:40:21.419,True,user
61f2ce1395e32c4827f9999c,male,autre,False,27/01/2022,2022-05-24 12:40:21.418,True,user
61f2be4d95e32c4827f99987,male,autre,False,27/01/2022,2022-05-24 12:40:21.416,True,user
61f29fd3686cce77cc835bc6,female,bouche à oreille,False,27/01/2022,2023-03-03 17:25:27.301,True,user
61f265bd686cce77cc835b7b,male,,False,27/01/2022,2022-05-24 12:40:21.414,True,user
61f1afaf686cce77cc835b2e,female,bouche à oreille,False,26/01/2022,2023-06-28 12:12:58.927,True,user
61f158dd686cce77cc835af6,male,autre,False,26/01/2022,2022-05-24 12:40:21.411,True,user
61f1192d686cce77cc835a28,male,bouche à oreille,False,26/01/2022,2022-05-24 12:40:21.407,True,user
61f10742a3e562521d224fd9,female,autre,False,26/01/2022,2023-07-25 08:29:37.341,True,user
61f0100241979a0867314424,female,autre,False,25/01/2022,2023-01-02 13:40:56.737,True,user
61f00c9c41979a0867314405,female,entreprise partenaire,True,25/01/2022,2022-05-24 12:40:21.402,True,user
61eeec5141979a0867314327,male,autre,False,24/01/2022,2023-02-10 16:43:54.119,True,user
61eeb60641979a08673142fc,female,autre,False,24/01/2022,2022-05-24 12:40:21.399,True,user
61ee9a1041979a08673142c9,female,autre,True,24/01/2022,2023-01-15 14:12:42.399,True,user
61edb0e441979a0867314207,female,bouche à oreille,False,23/01/2022,2022-05-24 12:40:21.392,True,user
61ed82b641979a08673141e3,male,autre,True,23/01/2022,2022-05-24 12:40:21.390,True,user
61ed298d41979a08673141bc,female,bouche à oreille,True,23/01/2022,2023-09-25 08:03:39.418,True,user
61ec325241979a086731411a,male,autre,True,22/01/2022,2022-10-20 12:46:27.499,True,user
61ead95b41979a086731408a,female,autre,False,21/01/2022,2022-08-26 10:08:26.954,True,user
61eaad5541979a086731407c,female,autre,False,21/01/2022,2022-05-24 12:40:21.361,True,user
61eaa70541979a086731407a,male,bouche à oreille,True,21/01/2022,2022-05-24 12:40:21.355,True,user
61ea690641979a0867314035,female,bouche à oreille,False,21/01/2022,2022-08-18 06:04:46.577,True,user
61e9c54141979a0867314011,male,bouche à oreille,False,20/01/2022,2023-07-18 15:41:25.901,True,user
61e9c23341979a086731400f,female,recherche web,False,20/01/2022,2022-05-24 12:40:21.351,True,user
61e9a26d41979a0867314000,female,recherche web,True,20/01/2022,2022-05-24 12:40:21.350,True,user
61e9796041979a0867313fe3,male,autre,False,20/01/2022,2022-05-24 12:40:21.348,True,user
61e9390441979a0867313fc4,female,recherche web,True,20/01/2022,2022-05-24 12:40:21.346,True,user
61e927db41979a0867313fb5,male,bouche à oreille,False,20/01/2022,2023-10-25 12:16:10.430,True,user
61e8674f41979a0867313f4f,female,autre,True,19/01/2022,2022-05-24 12:40:21.339,True,user
61e8439841979a0867313f3d,male,autre,True,19/01/2022,2022-05-24 12:40:21.338,True,user
61e8433f41979a0867313f3b,male,autre,True,19/01/2022,2022-05-24 12:40:21.337,True,user
61e82e5541979a0867313f17,female,autre,False,19/01/2022,2023-11-28 14:44:58.588,True,user
61e827d041979a0867313efb,male,bouche à oreille,False,19/01/2022,2022-10-18 15:20:58.493,True,user
61e81c3841979a0867313ede,male,bouche à oreille,False,19/01/2022,2023-02-15 11:53:35.493,True,user
61e8172d41979a0867313ed2,female,bouche à oreille,False,19/01/2022,2023-01-25 09:13:50.550,True,user
61e7fd0641979a0867313e92,female,autre,True,19/01/2022,2022-05-24 12:40:21.323,True,user
61e7eb4f41979a0867313e42,male,autre,True,19/01/2022,2022-05-24 12:40:21.322,True,user
61e7eb4b41979a0867313e40,female,,False,19/01/2022,2022-05-24 12:40:21.321,True,user
