_id,type,companyOrSchool,civility,howWeMet,createdAt,updatedAt,validatedEmail,company.type,company.address,company.tvaNumber,lastConnection,,"La colonne ""companyOrSchool"" est une précision du type de client. La collection profile contient les profils de type ""expert"" et ""company"".
Dans les profils de type ""company"" nous faisons la distinctions entre les entreprises (company) et les écoles (school). "
63e380f179991a5c33ff62a3,company,school,male,bouche à oreille,08/02/2023,1675854220540,VRAI,SAS,"40 Route de la Croix du Milieu, 16400 La Couronne, France",0,,,
63e12b000836560f18738421,company,school,female,,06/02/2023,1700125421493,VRAI,ASSO,"47 Rue du Sergent Michel Berthet, Lyon, France",20,1700125421489,,
63dce20c9db7350d41863d42,company,school,female,bouche à oreille,03/02/2023,1676886033314,VRAI,,,,1676886033310,,
63da213ebecf325848a4a126,company,school,female,bouche à oreille,01/02/2023,1695130218846,VRAI,ASSO,"Place des Archives, 69002 Lyon, France",0,1695130218844,,
63d8fb41becf325848a49f1f,company,school,female,autre,31/01/2023,1675775244531,VRAI,,,0,1675775244528,,
63d8e686becf325848a49ecb,company,school,female,publicité,31/01/2023,1687427331656,VRAI,SAS,"1 Rue Pierre de Maupertuis, Bruz, France",0,1687427331654,,
63d7e42e4709d3083585b9b9,company,school,male,autre,30/01/2023,1693319849730,VRAI,SARL,26 RUE RAZE 33000 BORDEAUX,20,1693319849728,,
63d38814b4ef3f4d9d68f4e6,company,company,male,bouche à oreille,27/01/2023,1674807564720,VRAI,ASSO,"16 Rue Amiral de Grasse, Grasse, France",0,,,
63d25fe188160d0bd8626451,company,school,male,autre,26/01/2023,1700575416995,VRAI,ASSO,"6-8 Boulevard Papin, Lille, France",10,1700575416989,,
63cfeb213d805d489fa38c98,company,school,female,bouche à oreille,24/01/2023,1674571171412,VRAI,,,,1674571171410,,
63c973d2e4ad45260849a319,company,school,male,autre,19/01/2023,1678112705661,VRAI,EURL,"Euridis Business School - Ecole de commerce Toulouse, 4 bis Rue du Pont Guilheméry, 31000 Toulouse, France",0,1678112705657,,
63c9031ee4ad45260849a238,company,school,female,autre,19/01/2023,1699612366181,VRAI,SARL,"437 Av. des Apothicaires, 34090 Montpellier",,1699612366180,,
63bbd53be4ad452608499149,company,company,female,bouche à oreille,09/01/2023,1673254596383,VRAI,SARL,"5 Allée des Acacias, Mérignac, France",20,,,
63b3f008783ece5a0866a0c1,company,school,male,autre,03/01/2023,1695816265872,VRAI,SAS,"242 Rue du Faubourg Saint-Antoine, Paris, France",0,1695816265870,,
